170,10,3,5,SCENE V. Another room in LEONATO'S house.
171,10,4,1,SCENE I. A church.
172,10,4,2,SCENE II. A prison.
173,10,5,1,SCENE I. Before LEONATO'S house.
174,10,5,2,SCENE II. LEONATO'S garden.
175,10,5,3,SCENE III. A church.
176,10,5,4,SCENE IV. A room in LEONATO'S house.
177,11,1,0,PROLOGUE
178,11,1,1,SCENE I. Antioch. A room in the palace.
179,11,1,2,SCENE II. Tyre. A room in the palace.
180,11,1,3,SCENE III. Tyre. An ante-chamber in the palace.
181,11,1,4,SCENE IV. Tarsus. A room in the Governor's house.
182,11,2,1,SCENE I. Pentapolis. An open place by the sea-side.
183,11,2,2,SCENE II. The same. A public way or platform leading to the
184,11,2,3,SCENE III. The same. A hall of state: a banquet prepared.
185,11,2,4,SCENE IV. Tyre. A room in the Governor's house.
186,11,2,5,SCENE V. Pentapolis. A room in the palace.
187,11,3,2,SCENE II. Ephesus. A room in CERIMON's house.
188,11,3,3,SCENE III. Tarsus. A room in CLEON's house.
189,11,3,4,SCENE IV. Ephesus. A room in CERIMON's house.
190,11,4,1,SCENE I. Tarsus. An open place near the sea-shore.
191,11,4,2,SCENE II. Mytilene. A room in a brothel.
192,11,4,3,SCENE III. Tarsus. A room in CLEON's house.
193,11,4,5,SCENE V. Mytilene. A street before the brothel.
194,11,4,6,SCENE VI. The same. A room in the brothel.
195,11,5,1,"SCENE I. On board PERICLES' ship, off Mytilene. A close"
196,11,5,3,SCENE III. The temple of Diana at Ephesus; THAISA standing
197,12,0,1,SCENE I. Before an alehouse on a heath.
198,12,0,2,SCENE II. A bedchamber in the Lord's house.
199,12,1,1,SCENE I. Padua. A public place.
200,12,1,2,SCENE II. Padua. Before HORTENSIO'S house.
201,12,2,1,SCENE I. Padua. A room in BAPTISTA'S house.
202,12,3,1,SCENE I. Padua. BAPTISTA'S house.
203,12,3,2,SCENE II. Padua. Before BAPTISTA'S house.
204,12,4,1,SCENE I. PETRUCHIO'S country house.
205,12,4,2,SCENE II. Padua. Before BAPTISTA'S house.
206,12,4,3,SCENE III. A room in PETRUCHIO'S house.
207,12,4,4,SCENE IV. Padua. Before BAPTISTA'S house.
208,12,4,5,SCENE V. A public road.
209,12,5,1,SCENE I. Padua. Before LUCENTIO'S house.
210,12,5,2,SCENE II. Padua. LUCENTIO'S house.
211,13,1,1,SCENE I. On a ship at sea: a tempestuous noise
212,13,1,2,SCENE II. The island. Before PROSPERO'S cell.
213,13,2,1,SCENE I. Another part of the island.
214,13,2,2,SCENE II. Another part of the island.
215,13,3,1,SCENE I. Before PROSPERO'S Cell.
216,13,3,2,SCENE II. Another part of the island.
217,13,3,3,SCENE III. Another part of the island.
218,13,4,1,SCENE I. Before PROSPERO'S cell.
219,13,5,1,SCENE I. Before PROSPERO'S cell.
220,14,1,1,SCENE I. Troy. Before Priam's palace.
221,14,1,2,SCENE II. The Same. A street.
222,14,1,3,SCENE III. The Grecian camp. Before Agamemnon's tent.
223,14,2,1,SCENE I. A part of the Grecian camp.
224,14,2,2,SCENE II. Troy. A room in Priam's palace.
225,14,2,3,SCENE III. The Grecian camp. Before Achilles' tent.
226,14,3,1,SCENE I. Troy. Priam's palace.
227,14,3,2,SCENE II. The same. Pandarus' orchard.
228,14,3,3,SCENE III. The Grecian camp. Before Achilles' tent.
229,14,4,1,SCENE I. Troy. A street.
230,14,4,2,SCENE II. The same. Court of Pandarus' house.
231,14,4,3,SCENE III. The same. Street before Pandarus' house.
232,14,4,4,SCENE IV. The same. Pandarus' house.
233,14,4,5,SCENE V. The Grecian camp. Lists set out.
234,14,5,1,SCENE I. The Grecian camp. Before Achilles' tent.
235,14,5,2,SCENE II. The same. Before Calchas' tent.
236,14,5,3,SCENE III. Troy. Before Priam's palace.
237,14,5,4,SCENE IV. Plains between Troy and the Grecian camp.
238,14,5,5,SCENE V. Another part of the plains.
239,14,5,6,SCENE VI. Another part of the plains.
240,14,5,7,SCENE VII. Another part of the plains.
241,14,5,8,SCENE VIII. Another part of the plains.
242,14,5,9,SCENE IX. Another part of the plains.
243,15,1,1,SCENE I. DUKE ORSINO's palace.
244,15,1,2,SCENE II. The sea-coast.
245,15,1,3,SCENE III. OLIVIA'S house.
246,15,1,4,SCENE IV. DUKE ORSINO's palace.
247,15,1,5,SCENE V. OLIVIA'S house.
248,15,2,1,SCENE I. The sea-coast.
249,15,2,2,SCENE II. A street.
250,15,2,3,SCENE III. OLIVIA's house.
251,15,2,4,SCENE IV. DUKE ORSINO's palace.
252,15,2,5,SCENE V. OLIVIA's garden.
253,15,3,1,SCENE I. OLIVIA's garden.
254,15,3,2,SCENE II. OLIVIA's house.
255,15,3,3,SCENE III. A street.
256,15,3,4,SCENE IV. OLIVIA's garden.
257,15,4,1,SCENE I. Before OLIVIA's house.
258,15,4,2,SCENE II. OLIVIA's house.
259,15,4,3,SCENE III. OLIVIA's garden.
260,15,5,1,SCENE I. Before OLIVIA's house.
261,16,1,1,SCENE I. Verona. An open place.
262,16,1,2,SCENE II. The same. Garden of JULIA's house.
263,16,1,3,SCENE III. The same. ANTONIO's house.
264,16,2,1,SCENE I. Milan. The DUKE's palace.
265,16,2,2,SCENE II. Verona. JULIA'S house.
266,16,2,3,SCENE III. The same. A street.
267,16,2,4,SCENE IV. Milan. The DUKE's palace.
268,16,2,5,SCENE V. The same. A street.
269,16,2,6,SCENE VI. The same. The DUKE'S palace.
270,16,2,7,SCENE VII. Verona. JULIA'S house.
271,16,3,1,SCENE I. Milan. The DUKE's palace.
272,16,3,2,SCENE II. The same. The DUKE's palace.
273,16,4,1,SCENE I. The frontiers of Mantua. A forest.
274,16,4,2,"SCENE II. Milan. Outside the DUKE's palace, under SILVIA's chamber."
